Detector_Type, Descriptor_Type, Frame_Range, TTC_Lidar, TTC_Camera
BRISK, ORB, 0-1, 13.144, 13.3707
BRISK, ORB, 1-2, 12.9549, 25.4223
BRISK, ORB, 2-3, 16.3229, 13.8655
BRISK, ORB, 3-4, 15.9883, 17.7073
BRISK, ORB, 4-5, 11.7422, 19.0379
BRISK, ORB, 5-6, 15.1703, 26.7845
BRISK, ORB, 6-7, 11.3822, 18.5497
BRISK, ORB, 7-8, 12.9842, 18.8708
BRISK, ORB, 8-9, 13.0407, 14.6162
BRISK, ORB, 9-10, 12.4117, 15.0687
BRISK, ORB, 10-11, 11.6781, 12.7203
BRISK, ORB, 11-12, 10.5236, 12.3762
BRISK, ORB, 12-13, 9.3932, 12.9418
BRISK, ORB, 13-14, 9.54557, 11.9875
BRISK, ORB, 14-15, 8.62937, 13.1834
BRISK, ORB, 15-16, 8.67236, 11.1492
BRISK, ORB, 16-17, 11.5561, 10.3489
BRISK, ORB, 17-18, 8.04705, 12.5335
,,,,
BRISK, SIFT, 0-1, 13.144, 13.0638
BRISK, SIFT, 1-2, 12.9549, 16.1625
BRISK, SIFT, 2-3, 16.3229, 18.5037
BRISK, SIFT, 3-4, 15.9883, 11.9244
BRISK, SIFT, 4-5, 11.7422, 26.3853
BRISK, SIFT, 5-6, 15.1703, 15.7611
BRISK, SIFT, 6-7, 11.3822, 13.4823
BRISK, SIFT, 7-8, 12.9842, 19.2558
BRISK, SIFT, 8-9, 13.0407, 18.9378
BRISK, SIFT, 9-10, 12.4117, 14.1909
BRISK, SIFT, 10-11, 11.6781, 14.0259
BRISK, SIFT, 11-12, 10.5236, 12.4827
BRISK, SIFT, 12-13, 9.3932, 14.5254
BRISK, SIFT, 13-14, 9.54557, 10.4258
BRISK, SIFT, 14-15, 8.62937, 15.8522
BRISK, SIFT, 15-16, 8.67236, 11.1824
BRISK, SIFT, 16-17, 11.5561, 9.8346
BRISK, SIFT, 17-18, 8.04705, 12.9925
,,,,
FAST, BRIEF, 0-1, 13.144, 12.5923
FAST, BRIEF, 1-2, 12.9549, 11.3472
FAST, BRIEF, 2-3, 16.3229, 13.2228
FAST, BRIEF, 3-4, 15.9883, 13.2296
FAST, BRIEF, 4-5, 11.7422, -inf
FAST, BRIEF, 5-6, 15.1703, 13.5856
FAST, BRIEF, 6-7, 11.3822, 12.7507
FAST, BRIEF, 7-8, 12.9842, 12.2852
FAST, BRIEF, 8-9, 13.0407, 13.6469
FAST, BRIEF, 9-10, 12.4117, 13.4681
FAST, BRIEF, 10-11, 11.6781, 14.3636
FAST, BRIEF, 11-12, 10.5236, 10.8819
FAST, BRIEF, 12-13, 9.3932, 12.4052
FAST, BRIEF, 13-14, 9.54557, 11.5337
FAST, BRIEF, 14-15, 8.62937, 11.8945
FAST, BRIEF, 15-16, 8.67236, 13.659
FAST, BRIEF, 16-17, 11.5561, 7.8014
FAST, BRIEF, 17-18, 8.04705, 11.9485
,,,,
FAST, BRISK, 0-1, 13.144, 12.4419
FAST, BRISK, 1-2, 12.9549, 12.5287
FAST, BRISK, 2-3, 16.3229, 12.5631
FAST, BRISK, 3-4, 15.9883, 12.8627
FAST, BRISK, 4-5, 11.7422, -inf
FAST, BRISK, 5-6, 15.1703, 13.3369
FAST, BRISK, 6-7, 11.3822, 12.1008
FAST, BRISK, 7-8, 12.9842, 11.5965
FAST, BRISK, 8-9, 13.0407, 12.467
FAST, BRISK, 9-10, 12.4117, 13.8688
FAST, BRISK, 10-11, 11.6781, 13.4267
FAST, BRISK, 11-12, 10.5236, 12.7125
FAST, BRISK, 12-13, 9.3932, 12.3493
FAST, BRISK, 13-14, 9.54557, 12.3278
FAST, BRISK, 14-15, 8.62937, 12.0672
FAST, BRISK, 15-16, 8.67236, 13.2483
FAST, BRISK, 16-17, 11.5561, 9.23382
FAST, BRISK, 17-18, 8.04705, 11.948
,,,,
FAST, FREAK, 0-1, 13.144, 11.7818
FAST, FREAK, 1-2, 12.9549, 22.7592
FAST, FREAK, 2-3, 16.3229, 13.9211
FAST, FREAK, 3-4, 15.9883, 14.2442
FAST, FREAK, 4-5, 11.7422, -inf
FAST, FREAK, 5-6, 15.1703, 12.499
FAST, FREAK, 6-7, 11.3822, 12.3837
FAST, FREAK, 7-8, 12.9842, 11.8885
FAST, FREAK, 8-9, 13.0407, 12.6957
FAST, FREAK, 9-10, 12.4117, 13.7123
FAST, FREAK, 10-11, 11.6781, 12.9708
FAST, FREAK, 11-12, 10.5236, 11.8034
FAST, FREAK, 12-13, 9.3932, 11.8956
FAST, FREAK, 13-14, 9.54557, 12.2638
FAST, FREAK, 14-15, 8.62937, 12.1403
FAST, FREAK, 15-16, 8.67236, 12.4292
FAST, FREAK, 16-17, 11.5561, 9.68408
FAST, FREAK, 17-18, 8.04705, 12.1527
,,,,
FAST, ORB, 0-1, 13.144, 11.943
FAST, ORB, 1-2, 12.9549, 11.0113
FAST, ORB, 2-3, 16.3229, 13.9157
FAST, ORB, 3-4, 15.9883, 13.8509
FAST, ORB, 4-5, 11.7422, -inf
FAST, ORB, 5-6, 15.1703, 12.4972
FAST, ORB, 6-7, 11.3822, 12.8869
FAST, ORB, 7-8, 12.9842, 12.5838
FAST, ORB, 8-9, 13.0407, 12.4182
FAST, ORB, 9-10, 12.4117, 14.052
FAST, ORB, 10-11, 11.6781, 14.4382
FAST, ORB, 11-12, 10.5236, 11.5024
FAST, ORB, 12-13, 9.3932, 12.7949
FAST, ORB, 13-14, 9.54557, 10.9941
FAST, ORB, 14-15, 8.62937, 10.7574
FAST, ORB, 15-16, 8.67236, 11.8801
FAST, ORB, 16-17, 11.5561, 11.1123
FAST, ORB, 17-18, 8.04705, 12.7542
,,,,
FAST, SIFT, 0-1, 13.144, 12.6784
FAST, SIFT, 1-2, 12.9549, 12.9109
FAST, SIFT, 2-3, 16.3229, 18.0819
FAST, SIFT, 3-4, 15.9883, 14.9931
FAST, SIFT, 4-5, 11.7422, -inf
FAST, SIFT, 5-6, 15.1703, 13.5252
FAST, SIFT, 6-7, 11.3822, 12.273
FAST, SIFT, 7-8, 12.9842, 12.9945
FAST, SIFT, 8-9, 13.0407, 13.6067
FAST, SIFT, 9-10, 12.4117, 13.8064
FAST, SIFT, 10-11, 11.6781, 14.9912
FAST, SIFT, 11-12, 10.5236, 11.7009
FAST, SIFT, 12-13, 9.3932, 12.7502
FAST, SIFT, 13-14, 9.54557, 11.488
FAST, SIFT, 14-15, 8.62937, 11.5166
FAST, SIFT, 15-16, 8.67236, 12.095
FAST, SIFT, 16-17, 11.5561, 7.15909
FAST, SIFT, 17-18, 8.04705, 11.0138
,,,,
SIFT, BRIEF, 0-1, 13.144, 12.5615
SIFT, BRIEF, 1-2, 12.9549, 13.616
SIFT, BRIEF, 2-3, 16.3229, 16.667
SIFT, BRIEF, 3-4, 15.9883, 20.5567
SIFT, BRIEF, 4-5, 11.7422, 14.3025
SIFT, BRIEF, 5-6, 15.1703, 11.1688
SIFT, BRIEF, 6-7, 11.3822, 14.9155
SIFT, BRIEF, 7-8, 12.9842, 15.9985
SIFT, BRIEF, 8-9, 13.0407, 15.0529
SIFT, BRIEF, 9-10, 12.4117, 11.7153
SIFT, BRIEF, 10-11, 11.6781, 14.74
SIFT, BRIEF, 11-12, 10.5236, 10.1557
SIFT, BRIEF, 12-13, 9.3932, 10.8469
SIFT, BRIEF, 13-14, 9.54557, 9.3534
SIFT, BRIEF, 14-15, 8.62937, 9.91544
SIFT, BRIEF, 15-16, 8.67236, 8.93159
SIFT, BRIEF, 16-17, 11.5561, 9.65169
SIFT, BRIEF, 17-18, 8.04705, 7.99936
,,,,
SIFT, BRISK, 0-1, 13.144, 14.1607
SIFT, BRISK, 1-2, 12.9549, 12.6526
SIFT, BRISK, 2-3, 16.3229, 15.3195
SIFT, BRISK, 3-4, 15.9883, 21.5634
SIFT, BRISK, 4-5, 11.7422, 15.9606
SIFT, BRISK, 5-6, 15.1703, 11.6616
SIFT, BRISK, 6-7, 11.3822, 16.809
SIFT, BRISK, 7-8, 12.9842, 15.7418
SIFT, BRISK, 8-9, 13.0407, 14.2427
SIFT, BRISK, 9-10, 12.4117, 12.7344
SIFT, BRISK, 10-11, 11.6781, 13.7128
SIFT, BRISK, 11-12, 10.5236, 10.1879
SIFT, BRISK, 12-13, 9.3932, 10.1399
SIFT, BRISK, 13-14, 9.54557, 9.4568
SIFT, BRISK, 14-15, 8.62937, 9.02709
SIFT, BRISK, 15-16, 8.67236, 8.80793
SIFT, BRISK, 16-17, 11.5561, 9.92299
SIFT, BRISK, 17-18, 8.04705, 9.60671
,,,,
SIFT, SIFT, 0-1, 13.144, 12.7766
SIFT, SIFT, 1-2, 12.9549, 13.4513
SIFT, SIFT, 2-3, 16.3229, 13.8308
SIFT, SIFT, 3-4, 15.9883, 21.2175
SIFT, SIFT, 4-5, 11.7422, 16.0607
SIFT, SIFT, 5-6, 15.1703, 11.3677
SIFT, SIFT, 6-7, 11.3822, 14.7194
SIFT, SIFT, 7-8, 12.9842, 16.134
SIFT, SIFT, 8-9, 13.0407, 14.1683
SIFT, SIFT, 9-10, 12.4117, 11.5483
SIFT, SIFT, 10-11, 11.6781, 12.8571
SIFT, SIFT, 11-12, 10.5236, 11.5061
SIFT, SIFT, 12-13, 9.3932, 10.0283
SIFT, SIFT, 13-14, 9.54557, 11.3337
SIFT, SIFT, 14-15, 8.62937, 9.47815
SIFT, SIFT, 15-16, 8.67236, 10.1347
SIFT, SIFT, 16-17, 11.5561, 9.40456
SIFT, SIFT, 17-18, 8.04705, 8.81862
,,,,
HARRIS, BRIEF, 0-1, 13.144, 10.9082
HARRIS, BRIEF, 1-2, 12.9549, 52.7952
HARRIS, BRIEF, 2-3, 16.3229, -80.8525
HARRIS, BRIEF, 3-4, 15.9883, 11.7693
HARRIS, BRIEF, 4-5, 11.7422, 35.3833
HARRIS, BRIEF, 5-6, 15.1703, 15.2483
HARRIS, BRIEF, 6-7, 11.3822, 35.4977
HARRIS, BRIEF, 7-8, 12.9842, 13.5704
HARRIS, BRIEF, 8-9, 13.0407, nan
HARRIS, BRIEF, 9-10, 12.4117, -inf
HARRIS, BRIEF, 10-11, 11.6781, 11.8135
